Harvard Fruit Salad,0,2.0,19,1,0.1,0.0,9.1,0.5
Local Apples,0,1.0,72,2,0.2,0.0,1.4,0.4
Oranges,0,1.0,59,2,0.2,0.0,1.2,1.1
Irish Lamb Soup,1,6.0,95,41,4.6,21.9,268.2,6.5
Tomato Basil Raviolini Soup,1,6.0,114,53,5.9,13.1,394.8,2.1
Cannelini Beans,1,2.0,48,0,0.0,0.0,157.0,3.1
Corn Niblets,1,2.0,44,3,0.4,0.0,0.5,1.4
Crumbled Bleu Cheese,1,2.0,203,146,16.2,50.6,526.5,14.2
Flaked Tuna,1,2.0,72,15,1.7,23.6,28.1,13.3
Hard Cooked Eggs,1,1.0,78,45,5.0,240.8,72.8,6.7
Hummus,1,2.0,109,45,5.0,0.0,74.3,5.0
Peeled Baby Carrots,1,2.0,21,3,0.4,0.0,33.5,0.3
Roasted Broccoli,1,2.0,33,16,1.8,0.0,91.7,2.1
Roasted Button Mushrooms,1,2.0,29,16,1.8,0.0,76.0,2.1
Seasoned Chicken Breast,1,2.0,80,27,3.0,34.2,93.9,12.5
Sliced Cucumbers,1,2.0,6,1,0.1,0.0,1.0,0.3
Spinach Salad Base,1,2.0,12,1,0.1,0.0,36.9,1.6
Tofu,1,2.0,50,22,2.5,0.0,0.0,5.6
Tomato Wedges,1,2.0,12,2,0.2,0.0,5.1,0.5
Fresh Mozzarella,1,1.0,86,50,5.5,12.3,184.9,7.4
Homemade Cage Free Egg Salad,1,4.0,263,188,20.9,458.4,425.1,12.8
Kosher Dill Pickle Chips,1,3.0,2,0,0.0,0.0,159.4,0.0
Leaf Lettuce,1,1.0,4,0,0.0,0.0,7.9,0.4
No Nut Basil Pesto,1,1.0,123,118,13.0,2.2,80.0,1.3
Provolone Cheese,1,1.0,100,68,7.5,19.6,248.3,7.3
"Roasted Eggplant, Zucchini, Summer Squash and Red Peppers",1,2.0,40,30,3.3,0.0,292.3,0.6
Roasted Low-Sodium Turkey,1,4.0,126,11,1.3,75.6,504.0,27.7
Sliced Ham,1,4.0,142,37,4.1,50.6,567.0,18.2
Sliced Red Onions,1,1.0,9,0,0.0,0.0,0.6,0.3
Sliced Tomatoes,1,1.0,6,1,0.1,0.0,2.6,0.2
Dan Dan Noodles,1,5.0,417,166,18.4,35.5,1528.4,18.3
Grilled BBQ Chicken Thigh,1,1.0,213,90,10.0,81.1,445.0,17.1
Grilled Chicken Thigh,1,1.0,153,90,10.0,81.1,102.6,17.1
Spinach Artichoke Grilled Cheese Sandwich,1,1.0,554,329,36.4,66.2,1121.8,21.7
Roasted Russet Potato Wedges,1,4.0,86,24,2.6,0.0,286.2,1.8
Roasted Beets with Cumin and Lime,1,4.0,48,9,1.0,0.0,293.1,1.1
Steamed Snowpeas,1,4.0,45,2,0.2,0.0,4.3,3.0
Carnival Cookie,1,1.0,119,45,5.0,26.8,108.9,1.0
Cold Brew Coffee Frozen Yogurt,1,2.0,65,9,1.0,3.0,56.5,1.5
Vanilla Soft Serve Ice Cream,1,2.0,85,26,2.9,13.0,39.1,1.3
Beyond Burger,1,1.0,291,199,22.1,0.0,461.6,20.1
Cage Free Eggs Cooked to Order,1,1.0,70,41,4.5,215.0,65.0,6.0
Cage-Free Egg Whites Cooked to Order,1,4.0,57,0,0.0,0.0,192.8,12.5
Frankfurter Rolls,1,1.0,120,14,1.5,0.0,230.0,4.0
French Fries,1,4.0,175,57,6.3,0.0,397.4,0.9
Grilled All Beef Old Neighborhood Hot Dog,1,1.0,129,90,9.9,29.8,357.2,7.9
Grilled Burger,1,1.0,271,190,21.1,70.2,60.2,19.1
Grilled Cheese Sandwich,1,1.0,379,214,23.7,43.3,518.3,15.2
Grilled Chicken,1,1.0,123,28,3.1,65.0,207.7,26.0
Hallal Grilled Chicken,1,1.0,181,36,4.0,95.3,85.3,35.1
Hamburger Rolls,1,1.0,140,14,1.5,0.0,270.0,4.0
"Omelette, Cheese",1,4.0,205,131,14.5,433.4,224.2,16.4
"Omelette, Ham and Cheese",1,4.0,185,109,12.1,360.0,574.2,15.9
"Omelette, Pepper and Onion",1,4.0,142,82,9.1,381.0,127.7,12.0
Turkey Burger,1,1.0,233,164,18.2,60.8,536.6,16.2
"Veggie Burger, Garden Broiler",1,1.0,150,36,4.0,0.0,510.0,15.0
Stewed Chickpea Catalan Style,1,4.0,126,20,2.2,0.0,1452.1,3.6
Moroccan Carrot Salad,1,4.0,110,36,4.0,0.0,240.0,1.0
Taco Nacho Salad,1,6.0,172,78,8.7,12.8,582.0,6.8
Cracked Farro Salad,1,4.0,189,58,6.5,5.5,285.0,8.3
Pumpkin Quinoa Salad,1,4.0,210,118,13.1,6.7,185.3,4.4
Bananas,1,1.0,134,4,0.5,0.0,1.5,1.6
Local Apples,1,1.0,72,2,0.2,0.0,1.4,0.4
Oranges,1,1.0,59,2,0.2,0.0,1.2,1.1
Cornbread,1,1.0,140,54,6.0,20.0,210.0,2.0
Lentil Chili with Corn,1,6.0,130,5,0.5,0.0,294.6,8.5
Rocky Mountain Chili,1,6.0,194,74,8.2,41.9,407.9,15.6
Shredded Cheddar Cheese,1,1.0,114,85,9.4,29.8,176.1,7.1
